district,zongshu,xiaoxue,zhongxue
安徽,903,446,353
北京,214,122,63
福建,664,342,290
甘肃,527,249,244
广东,873,419,355
广西,487,208,246
贵州,553,213,313
海南,99,29,52
河北,1064,588,403
河南,1576,825,645
黑龙江,442,199,189
湖北,791,389,316
湖南,901,465,369
吉林,467,236,181
江苏,1389,775,490
江西,650,296,247
辽宁,848,427,319
内蒙古,982,511,406
宁夏,199,99,93
青海,97,39,44
山东,991,485,388
山西,676,361,261
陕西,689,414,225
上海,252,112,106
四川,1272,576,532
天津,190,114,68
西藏,91,40,49
新疆,660,254,243
云南,534,192,324
浙江,567,337,188
重庆,501,265,220